Player,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
Ramon Sessions,106,.387,274,19,.317,60,182,28,0,121,125,.374,334,133,.769,173,64,10,NBA,1188,23,73,402,Ramon Sessions,PG,29,2014-15,86,144,TOT,.403
Ramon Sessions,57,.368,155,6,.214,28,96,28,0,56,63,.344,183,64,.727,88,36,7,NBA,642,13,45,196,Ramon Sessions,PG,13,2014-15,51,69,SAC,.361
Ramon Sessions,49,.412,119,13,.406,32,86,28,0,65,62,.411,151,69,.812,85,28,3,NBA,546,10,28,206,Ramon Sessions,PG,16,2014-15,35,75,WAS,.454
Ramon Sessions,42,.483,87,9,.346,26,43,29,1,37,51,.451,113,48,.750,64,19,0,NBA,347,4,32,159,Ramon Sessions,PG,20,2015-16,23,41,WAS,.491
Mustafa Shakur,20,.408,49,1,.100,10,25,26,3,15,21,.356,59,8,.533,15,22,0,NBA,159,7,15,51,Mustafa Shakur,PG,5,2010-11,18,22,WAS,.364
Mustafa Shakur,0,.000,3,3,11,0,1,27,.500,.000,OKC,PG,NBA,1,0,.000,Did Not Play,2013-14,2012-13,29,2,0,0,Mustafa Shakur,28,2,2011-12,0,.000,Did Not Play,0
Mustafa Shakur,,,,,,,,0,,,,,,,,,1,,2,,,,,Mustafa Shakur,2,,4,,,0,
Tornike Shengelia,9,.429,21,1,.500,2,3,21,1,14,10,.435,23,9,.563,16,19,0,NBA,93,9,11,30,Tornike Shengelia,SF,3,2012-13,11,23,BRK,.457
Tornike Shengelia,13,.591,22,0,.000,6,14,22,1,12,13,.464,28,3,.375,8,26,0,NBA,154,4,18,29,Tornike Shengelia,SF,3,2013-14,12,16,TOT,.464
Tornike Shengelia,11,.611,18,0,.000,6,12,22,1,10,11,.458,24,3,.375,8,17,0,NBA,137,4,16,25,Tornike Shengelia,SF,2,2013-14,11,14,BRK,.458
Tornike Shengelia,2,.500,4,0,NA,0,2,22,0,2,2,.500,4,0,NA,0,9,0,NBA,17,0,2,4,Tornike Shengelia,SF,1,2013-14,1,2,CHI,.500
Iman Shumpert,166,.440,377,48,.306,157,164,21,8,144,214,.401,534,87,.798,109,59,35,NBA,1705,42,173,563,Iman Shumpert,PG,101,2011-12,111,186,NYK,.446
Iman Shumpert,58,.392,148,51,.402,127,75,22,7,105,109,.396,275,36,.766,47,45,45,NBA,996,31,99,305,Iman Shumpert,SG,43,2012-13,37,136,NYK,.489
